기준 년코드,기준_분기_코드,상권_코드,상권_코드_명,행정동명,시군구명,총_생활인구_수,남성,여성,10대,20대,30대,40대,50대,60대_이상,00~06시,06~11시,11~14시,14~17시,17~21시,21~24시,월요일,화요일,수요일,목요일,금요일,토요일,일요일
2021,4,2110594,신월중학교,신월5동,양천구,351516,178829,172687,85205,39632,46703,51813,57768,70393,78415,77299,49093,45022,58107,43580,50781,51600,51258,51038,51275,48037,47527
2021,4,2110593,신월3동주민센터,신월3동,양천구,1188932,583106,605825,173849,129956,159658,176923,192877,355671,368956,252548,126392,121438,168065,151533,170076,166981,166780,166493,167023,172122,179458
2021,4,2110592,서울금융고등학교,신월3동,양천구,296206,145979,150227,44104,35021,40961,46281,53517,76323,60255,59138,40019,41544,56830,38419,42676,42829,43009,42704,42908,41308,40769
2021,4,2110591,충정로역 6번,중림동,중구,997893,498793,499100,87175,141301,222770,216068,157966,172612,184998,230164,166763,163701,160648,91619,150683,160764,160918,158452,152027,109153,105896
2021,4,2110590,만리재,공덕동,마포구,1230153,571344,658809,200905,181362,198425,193610,208264,247590,284565,254979,158720,156305,214462,161122,180001,176866,177629,175923,176072,171633,172030
2021,4,2110589,애오개역 3번,공덕동,마포구,71638,32608,39031,12592,9872,13064,11834,11040,13233,20608,14286,7810,7982,11535,9420,10149,9996,10011,10093,10108,10602,10678
2021,4,2110588,한겨레신문사,공덕동,마포구,741507,337269,404238,98225,127763,125591,115906,119080,154943,213351,156015,83140,79823,111982,97198,106391,106945,105079,105088,104266,105371,108367
2021,4,2110587,공덕동주민센터,공덕동,마포구,1045952,476891,569061,144924,174034,199136,181889,156654,189316,280587,223314,121748,121192,169104,130008,148115,148144,148423,149025,146985,149960,155301
2021,4,2110586,서울서부지방법원,공덕동,마포구,2190629,990829,1199799,290090,319035,483786,405163,317223,375331,600298,456000,256087,250087,347716,280441,312421,316529,316357,316347,315158,305980,307837
2021,4,2110585,마포경찰서,아현동,마포구,84960,38308,46652,12584,11582,18852,15734,12065,14142,19207,18084,10797,11136,14960,10775,12407,12640,12577,12554,12410,11246,11127
2021,4,2110584,아현역 4번,아현동,마포구,105712,46697,59016,17952,15000,18201,17105,16172,21280,27011,22782,12981,12909,17169,12860,15174,15355,15495,15296,15227,14890,14276
2021,4,2110583,공덕래미안3차아파트,아현동,마포구,233697,109259,124437,35014,32876,53258,44740,32578,35231,33640,48823,42520,43980,44618,20116,35930,37938,37628,37512,36219,25399,23072
2021,4,2110582,이대역 5번,염리동,마포구,456278,195043,261237,41770,149143,75106,65148,53445,71668,135658,99581,50330,47582,64775,58353,64844,64344,63918,64279,63588,66659,68649
2021,4,2110581,염리초등학교,염리동,마포구,129551,61421,68129,17666,18409,28135,26958,19215,19168,19316,27402,22474,21663,25734,12961,18811,20090,20011,20116,19490,15865,15168
2021,4,2110580,양원초등학교,대흥동,마포구,565058,257830,307229,59661,141942,94609,90610,82422,95815,166382,114992,62400,62885,83826,74574,81654,81207,81261,80912,80888,80618,78517
2021,4,2110579,마포역 4번,도화동,마포구,320510,155189,165321,35911,42095,69065,57413,49536,66490,95605,69374,34485,33608,45316,42120,46157,46352,46011,45756,45676,44759,45798
2021,4,2110578,대흥역 2번,염리동,마포구,1121177,510290,610887,230162,167694,182354,215988,145252,179728,219047,225997,154969,158022,215914,147227,162782,164931,164042,163597,162115,152991,150719
2021,4,2110577,용강동주민센터,용강동,마포구,475631,212141,263490,124276,47258,68156,85221,61644,89076,110289,89243,57364,65355,94363,59016,67193,67183,67337,67555,67416,69713,69233
2021,4,2110576,대흥역 3번,대흥동,마포구,852546,403051,449496,175030,138583,131649,145849,112731,148706,185892,162836,109490,117190,168735,108405,122011,124343,124978,125136,124006,118565,113508
2021,4,2110575,대흥동주민센터,대흥동,마포구,734647,299212,435436,64194,275514,129706,89103,71766,104363,236460,161001,75160,68336,96615,97078,104405,105215,104277,103965,103910,105912,106963
